What is your sex?,What is your year?,What is your course?,What was your GWA in the previous semester at PLM?,What was your Senior High School strand?,What was your first choice upon applying to PLM?2,What was your second choice upon applying to PLM?3,What was your third choice upon applying to PLM?2,I do important decisions on my own,I considered the background of the school in choosing a particular course,I consider the  number of potential job opportunities as an important factor       ,I consider the level of salary offered by potential job opportunities as an important factor,Who decided for you to choose your course?, I find my skills aligned with my current course, I find my  interests aligned with my current course       ,I find my hobbies aligned with my current course,Who inspire or motivated in your choice of course?,I am having the best college experience       ,I find the class size affecting my interest in the course,I find the   class size stimulating in my learning experience,I am in a  group of friends in my current course who shares the same interests with me       2,I can easily get affected/influenced by my friends’ decision       3,How many are you in your section/block?, I find my expectations match with my current course’s curriculum content       , I like my current course       ,                  I can easily learn lessons from the   subjects that I am taking right now              , I feel like the subjects offered in my current course is lacking       ,I had trouble  choosing my course upon applying in PLM       ,I find my  entire educational experience at this course excellent       ,I am satisfied with the set of instructors in my current course       ,I consider my college offering an effective academic advising       , I worry that I am not good/performing   enough for my subjects       ,I experienced  an effective course advising in high school,"If you could start over again, would you choose the same course you are attending now?","If you will be given a chance to shift to a different course, would you grab the opportunity?"
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSPsy,BS_Arch,Disagree,Disagree,Agree,Strongly Agree,Myself,Disagree,N/A,Disagree,Family,Disagree,Disagree,Disagree,Agree,Disagree,31-50,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Yes,No
Male,First Year,BSMfgE,N/A,STEM,BSCE,BSME,BS_Arch,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Third Year,BSIT,1.51-2.00,STEM,BSBio,BSIT,BSPT,Agree,Disagree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Yes
Female,First Year,BSECE,N/A,TVL,BSIT,BSCE,BSCpE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BS_Arch,BSPsy,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,N/A,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSA,Strongly Agree,N/A,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Strongly Agree,Family,Agree,N/A,N/A,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Female,First Year,BSCHE,N/A,STEM,BSN,BSBio,BSA,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Strongly Agree,Disagree,Agree,Family,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,31-50,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,No,No
Female,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSBio,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,No,No
Male,First Year,BSIT,N/A,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSIT,BSA,Strongly Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSMath,BSA,Agree,Agree,Agree,Disagree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Yes,Yes
Female,Second Year,BSCE,1.00-1.50,BAM,BSCE,BSME,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Strongly Agree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,N/A,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Yes,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSME,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Yes,No
Male,First Year,BSIT,N/A,STEM,BSIT,BSHM,BSCpE,Strongly Agree,Disagree,Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Strongly Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,No,Yes
Male,First Year,BSCS,N/A,TVL,BS_Arch,BSCS,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Family,N/A,Agree,Agree,Strongly Disagree,Strongly Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,No,Yes
Male,First Year,BSCS,N/A,TVL,BS_Arch,BSCS,BSA,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,N/A,Agree,Agree,Agree,Strongly Disagree,31-50,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,Yes
Female,Third Year,BSA,2.01-2.50,BAM,BSA,BSPsy,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,N/A,N/A,N/A,Agree,Agree,31-50,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.51-2.00,BAM,BSIT,BSCpE,BSPsy,Strongly Agree,Agree,Strongly Agree,Agree,Myself,N/A,N/A,N/A,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,N/A,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Yes,No
Male,Third Year,BSBA_BE,1.00-1.50,STEM,BSBA_BE,BSChem,BSBio,Strongly Agree,Disagree,Agree,Strongly Agree,Myself,Agree,Disagree,Strongly Disagree,Family,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,31-50,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Male,Third Year,BSBA_HRM,1.00-1.50,BAM,BSBA_HRM,BSA,BSBio,Agree,Agree,Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,No
Male,Third Year,BSREM,1.51-2.00,BAM,BSA,BSBA_FM,BSBio,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Yes,No
Female,First Year,BSCHE,N/A,STEM,BSChem,BSCHE,BSBio,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,First Year,BSCHE,1.51-2.00,STEM,BSCHE,BSChem,BSBio,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Strongly Disagree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Yes
Female,Second Year,BSCE,1.00-1.50,STEM,BSN,BSCE,BSBio,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,No,Yes
Male,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSN,BSBio,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,Yes
Female,Third Year,BSCpE,1.51-2.00,STEM,BSCpE,BSIT,BSBio,Strongly Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCS,1.00-1.50,STEM,BSPT,BSN,BSBio,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,No,No
Female,Third Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_BE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,No,No
Female,Third Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_BE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSBA_BE,1.00-1.50,BAM,BSBA_FM,BSA,BSBA_BE,Strongly Agree,Agree,Strongly Agree,Agree,Myself,Agree,Disagree,Disagree,Family,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSBA_BE,1.00-1.50,BAM,BSTM,BSA,BSBA_BE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Yes,Yes
Female,Second Year,BSBA_BE,1.00-1.50,BAM,BSA,BSBA_MM,BSBA_BE,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,No,Yes
Male,Third Year,BSBA_BE,1.00-1.50,BAM,BSA,BSIT,BSBA_BE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Disagree,Strongly Agree,31-50,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSBA_MM,1.00-1.50,BAM,BSBA_HRM,BSBA_MM,BSBA_BE,Agree,Agree,Agree,Agree,Myself,Disagree,Agree,Agree,Family,Agree,Disagree,Agree,Disagree,Disagree,31-50,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Yes,No
Female,Second Year,BS_ENTRE,1.51-2.00,BAM,BSBA_MM,BSBA_FM,BSBA_BE,Strongly Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Strongly Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,No,Yes
Male,Third Year,BS_ENTRE,1.00-1.50,BAM,BS_ENTRE,BSBA_MM,BSBA_BE,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Male,Second Year,BSA,1.00-1.50,BAM,BSA,BSCE,BSBA_FM,Agree,Agree,Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,No,No
Male,Third Year,BSIT,1.51-2.00,HESS,BSCE,BSIT,BSPsy,Disagree,N/A,Agree,Agree,Myself,Disagree,Agree,Disagree,Family,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,31-50,Agree,Agree,N/A,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Yes,No
Female,Third Year,BSBA_HRM,1.51-2.00,BAM,BSA,BSBA_HRM,BSBA_FM,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,31-50,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,No
Female,Third Year,BSBA_OM,1.51-2.00,BAM,BSA,BSBA_OM,BSBA_FM,Agree,N/A,Agree,Agree,Myself,Disagree,Agree,Strongly Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Yes,Yes
Female,Second Year,BS_ENTRE,1.00-1.50,BAM,BSBA_MM,BS_ENTRE,BSBA_FM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,No,Yes
Female,Second Year,BSCE,2.51-3.00,TVL,BSCE,BS_Arch,BSBA_FM,Disagree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,No
Male,Second Year,BSCE,1.51-2.00,BAM,BSA,BSCE,BSBA_FM,Agree,Agree,Agree,Agree,Myself,Disagree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,No,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSME,BSBA_FM,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Second Year,BSIT,1.00-1.50,BAM,BSIT,BSBA_MM,BSBA_FM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BS_Arch,BSIT,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Strongly Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Yes
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,BAM,BSA,BSIT,BSBA_FM,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,No,No
Female,Third Year,BSBA_BE,1.00-1.50,BAM,BSBA_MM,BSBA_BE,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Second Year,BSBA_HRM,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_HRM,Agree,Disagree,Agree,Agree,Myself,Agree,Disagree,Disagree,Family,N/A,Strongly Agree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,No,Yes
Female,Third Year,BSBA_HRM,1.51-2.00,BAM,BSPsy,BS_ENTRE,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,No
Female,Second Year,BSBA_HRM,1.00-1.50,BAM,BSBA_FM,BSPsy,BSBA_HRM,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,No,Yes
Female,Second Year,BS_ENTRE,1.51-2.00,BAM,BSIT,BSBA_MM,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,No
Female,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSBA_HRM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Family,N/A,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_MM,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Male,Third Year,BSA,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_MM,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,No,No
Female,Third Year,BSA,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_MM,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,Second Year,BSA,1.51-2.00,STEM,BSA,BSBA_FM,BSBA_MM,Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSBA_FM,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_MM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,31-50,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,No
Female,Third Year,BSBA_HRM,1.51-2.00,BAM,BSA,BSBA_HRM,BSBA_MM,Agree,Agree,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,31-50,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,No
Female,Third Year,BSBA_HRM,1.51-2.00,BAM,BSA,BSBA_HRM,BSBA_MM,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Agree,Agree,Agree,31-50,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No
Female,Third Year,BSBA_HRM,1.51-2.00,BAM,BSBA_OM,BSBA_HRM,BSBA_MM,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,No
Female,First Year,BSBA_MM,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_MM,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,No,No
Female,Third Year,BSIT,1.51-2.00,HESS,BSPsy,BSIT,BSSW,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Female,Second Year,BS_ENTRE,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_MM,Agree,Strongly Agree,Agree,Agree,Myself,Agree,Disagree,Disagree,Family,Strongly Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,No,Yes
Female,Second Year,BS_ENTRE,1.51-2.00,TVL,BSA,BSBA_FM,BSBA_MM,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Disagree,Agree,Agree,Agree,Agree,31-50,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,No,Yes
Male,Third Year,BSREM,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_MM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Agree,Agree,Agree,31-50,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Yes,No
Female,Third Year,BSTM,1.00-1.50,BAM,BSTM,BSBA_FM,BSBA_MM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSA,BSBA_MM,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Yes,Yes
Female,Third Year,BSCE,1.00-1.50,STEM,BSCE,BSN,BSTM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,No,No
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSBA_MM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,No
Female,Second Year,BSIT,1.51-2.00,STEM,BS_Arch,BSIT,BSBA_MM,Agree,Agree,Strongly Agree,Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Disagree,Disagree,Agree,Disagree,N/A,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,No,Yes
Male,First Year,BSMfgE,N/A,BAM,BSBA_FM,BS_ENTRE,BSBA_MM,Agree,Agree,Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_OM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No
Female,Second Year,BSCE,1.51-2.00,TVL,BSCE,BS_Arch,BSEd_SS,Agree,Strongly Agree,Agree,Agree,Myself,Strongly Disagree,Strongly Agree,Strongly Disagree,Family,Strongly Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Yes,No
